272,244,5,2017-01-01,2017-12-31
483,421,5,2017-01-01,2017-12-31
569,545,5,2017-01-01,2017-12-31
688,650,5,2017-01-01,2017-12-31
743,761,5,2017-01-01,2017-12-31
792,793,5,2017-01-01,2017-12-31
791,747,5,2017-01-01,2017-12-31
791,729,5,2017-01-01,2017-12-31
760,743,5,2017-01-01,2017-12-31
912,920,5,2017-01-01,2017-12-31
218,272,5,2017-01-01,2017-12-31
368,308,5,2017-01-01,2017-12-31
595,584,5,2017-01-01,2017-12-31
578,588,5,2017-01-01,2017-12-31
799,709,5,2017-01-01,2017-12-31
791,793,5,2017-01-01,2017-12-31
1035,1044,5,2017-01-01,2017-12-31
1026,1095,5,2017-01-01,2017-12-31
1126,1106,5,2017-01-01,2017-12-31
1057,374,5,2017-01-01,2017-12-31
1001,334,5,2017-01-01,2017-12-31
1045,305,5,2017-01-01,2017-12-31
1219,1258,5,2017-01-01,2017-12-31
781,1021,5,2017-01-01,2017-12-31
1594,1509,5,2017-01-01,2017-12-31
1942,1961,5,2017-01-01,2017-12-31
1940,1994,5,2017-01-01,2017-12-31
2190,2165,5,2017-01-01,2017-12-31
2185,2148,5,2017-01-01,2017-12-31
2105,2183,5,2017-01-01,2017-12-31
2300,2241,5,2017-01-01,2017-12-31
2259,2213,5,2017-01-01,2017-12-31
2021,56,5,2017-01-01,2017-12-31
2545,2510,5,2017-01-01,2017-12-31
2568,2567,5,2017-01-01,2017-12-31
3978,3906,5,2017-01-01,2017-12-31
3913,3974,5,2017-01-01,2017-12-31
3955,3901,5,2017-01-01,2017-12-31
4072,4061,5,2017-01-01,2017-12-31
3174,602,5,2017-01-01,2017-12-31
1476,2710,5,2017-01-01,2017-12-31
3913,1014,5,2017-01-01,2017-12-31
4274,4291,5,2017-01-01,2017-12-31
2105,3476,5,2017-01-01,2017-12-31
4340,4359,5,2017-01-01,2017-12-31
1310,994,5,2017-01-01,2017-12-31
4417,4451,5,2017-01-01,2017-12-31
2334,3679,5,2017-01-01,2017-12-31
3682,2404,5,2017-01-01,2017-12-31
3678,2335,5,2017-01-01,2017-12-31
2405,3679,5,2017-01-01,2017-12-31
130,2458,5,2017-01-01,2017-12-31
3671,2315,5,2017-01-01,2017-12-31
4630,4609,5,2017-01-01,2017-12-31
2026,3634,5,2017-01-01,2017-12-31
2026,3643,5,2017-01-01,2017-12-31
119,2446,5,2017-01-01,2017-12-31
1884,4614,5,2017-01-01,2017-12-31
4700,1865,5,2017-01-01,2017-12-31
1337,4364,5,2017-01-01,2017-12-31
2959,4052,5,2017-01-01,2017-12-31
1482,4080,5,2017-01-01,2017-12-31
4977,4998,5,2017-01-01,2017-12-31
4921,4953,5,2017-01-01,2017-12-31
1533,3968,5,2017-01-01,2017-12-31
5119,5152,5,2017-01-01,2017-12-31
2273,3681,5,2017-01-01,2017-12-31
130,977,5,2017-01-01,2017-12-31
1313,3578,5,2017-01-01,2017-12-31
758,3455,5,2017-01-01,2017-12-31
5451,5406,5,2017-01-01,2017-12-31
5451,5496,5,2017-01-01,2017-12-31
5426,5463,5,2017-01-01,2017-12-31
5048,4678,5,2017-01-01,2017-12-31
4171,5191,5,2017-01-01,2017-12-31
4331,993,5,2017-01-01,2017-12-31
4071,2972,5,2017-01-01,2017-12-31
2789,5466,5,2017-01-01,2017-12-31
2712,1332,5,2017-01-01,2017-12-31
5746,5768,5,2017-01-01,2017-12-31
4972,4690,5,2017-01-01,2017-12-31
4967,1598,5,2017-01-01,2017-12-31
4967,1662,5,2017-01-01,2017-12-31
399,752,5,2017-01-01,2017-12-31
5927,5997,5,2017-01-01,2017-12-31
5972,5991,5,2017-01-01,2017-12-31
5905,5991,5,2017-01-01,2017-12-31
5910,5951,5,2017-01-01,2017-12-31
3259,4315,5,2017-01-01,2017-12-31
5463,4939,5,2017-01-01,2017-12-31
2596,4988,5,2017-01-01,2017-12-31
4646,2596,5,2017-01-01,2017-12-31
6829,6898,5,2017-01-01,2017-12-31
6878,6889,5,2017-01-01,2017-12-31
7629,7602,5,2017-01-01,2017-12-31
4481,5964,5,2017-01-01,2017-12-31
5769,6008,5,2017-01-01,2017-12-31
8042,8078,5,2017-01-01,2017-12-31
7120,1946,5,2017-01-01,2017-12-31
8142,8128,5,2017-01-01,2017-12-31
8336,8384,5,2017-01-01,2017-12-31
1267,4613,5,2017-01-01,2017-12-31
6052,8093,5,2017-01-01,2017-12-31
6951,3102,5,2017-01-01,2017-12-31
2556,4278,5,2017-01-01,2017-12-31
6872,4674,5,2017-01-01,2017-12-31
6855,3576,5,2017-01-01,2017-12-31
6001,6814,5,2017-01-01,2017-12-31
4607,6469,5,2017-01-01,2017-12-31
