760,701,15
701,760,15
3503,3590,14
3590,3503,14
2759,2717,14
2717,2759,14
2939,5490,13
5490,2939,13
2939,4395,12
4441,2550,12
9252,7877,12
763,760,12
4827,1673,12
3093,1208,12
4316,2759,12
7877,9252,12
760,763,12
701,763,12
6813,3590,12
1337,1484,12
366,374,12
2759,4316,12
4373,4316,12
1208,3093,12
2550,4441,12
2511,407,12
4316,4373,12
4395,4399,12
3278,5423,12
4059,4016,12
1337,2867,12
2867,1337,12
3021,9522,12
5423,3278,12
5491,5481,12
763,701,12
2926,3590,12
9522,3021,12
975,1371,12
392,382,12
382,392,12
374,366,12
1484,1337,12
5481,5491,12
1673,4827,12
3590,6813,12
407,2511,12
4016,4059,12
4395,2939,12
3590,2926,12
4399,4395,12
1371,975,12
733,752,11
716,724,11
975,928,11
4339,4009,11
4373,2759,11
7560,4451,11
4034,4046,11
6052,6100,11
1343,288,11
3090,3021,11
4552,1046,11
3589,9258,11
7902,9369,11
4451,382,11
1001,1023,11
7560,382,11
4316,5491,11
1208,5789,11
1023,772,11
3021,3090,11
366,752,11
3477,1053,11
6205,4200,11
4044,4011,11
855,10899,11
4053,4025,11
7747,9522,11
2969,2939,11
1678,2097,11
1865,1884,11
4316,5481,11
4009,4339,11
392,1849,11
10576,10541,11
866,816,11
816,866,11
624,226,11
1053,3477,11
2759,4373,11
1966,6777,11
4674,4607,11
2783,1818,11
9828,9752,11
9069,7810,11
5481,4316,11
2939,2959,11
226,624,11
10899,855,11
2906,901,11
5789,1208,11
752,366,11
2969,2959,11
772,1023,11
6418,6447,11
2097,1678,11
6507,1733,11
382,4451,11
901,2906,11
1337,1464,11
1337,1371,11
746,772,11
1818,2783,11
9369,7902,11
10541,10576,11
771,755,11
1029,360,11
4316,2717,11
2939,2969,11
5491,4316,11
9752,9828,11
360,1029,11
1849,392,11
7872,7866,11
4451,7560,11
288,1343,11
752,733,11
382,7560,11
1046,4552,11
6113,8679,11
1666,1696,11
1884,1865,11
755,771,11
4200,6205,11
2068,7810,11
928,975,11
1733,6507,11
5544,5546,11
2959,2969,11
5443,5481,11
2717,4316,11
7866,7872,11
772,746,11
1696,1666,11
8679,6113,11
1464,1337,11
4025,4053,11
4541,7162,11
6100,6052,11
9258,3589,11
7810,2068,11
6447,6418,11
7685,3735,11
7810,9069,11
4011,4044,11
6777,1966,11
724,716,11
4046,4034,11
5491,5443,11
4607,4674,11
7162,4541,11
1023,1001,11
5443,5491,11
9522,7747,11
2959,2939,11
1371,1337,11
5546,5544,11
5481,5443,11
3735,7685,11
5478,5464,10
6813,2926,10
739,752,10
1484,2867,10
2759,5491,10
3418,6813,10
1378,2489,10
2511,2867,10
701,751,10
2988,2905,10
928,1337,10
8584,8562,10
3503,6813,10
763,751,10
606,3169,10
5481,5440,10
4395,4388,10
5566,5505,10
5911,5989,10
10016,10083,10
4483,3180,10
2231,5522,10
3278,8158,10
3865,3847,10
5522,2231,10
3576,3544,10
2759,5443,10
8562,8584,10
6805,3356,10
1095,760,10
928,2511,10
11871,10767,10
5464,5478,10
1371,928,10
4012,4009,10
2867,2511,10
1484,2511,10
5491,2759,10
2857,2926,10
11296,75,10
2905,2988,10
8158,3278,10
752,374,10
10767,10716,10
4080,4012,10
975,1337,10
368,362,10
4083,4009,10
8363,10368,10
751,760,10
2489,1378,10
1337,928,10
7039,3278,10
3356,6805,10
4083,4012,10
6522,6548,10
3223,8257,10
4294,4260,10
1337,975,10
6548,6522,10
8596,8679,10
733,739,10
3278,7039,10
4249,6447,10
4009,4083,10
1677,7605,10
752,739,10
2939,4399,10
5946,5792,10
374,752,10
5440,5491,10
4339,5414,10
5744,5798,10
8596,2201,10
274,275,10
392,9066,10
5505,5566,10
10478,859,10
7866,7662,10
751,763,10
1696,1464,10
1666,1464,10
11046,11074,10
275,274,10
5443,4316,10
6084,8961,10
975,5423,10
2759,5481,10
75,11296,10
10767,11871,10
362,368,10
1337,1955,10
4056,8363,10
670,624,10
9069,9098,10
2776,2857,10
5500,5440,10
4249,3418,10
3466,9742,10
4388,4399,10
4399,2939,10
5491,5440,10
5500,5491,10
4969,2294,10
739,733,10
2511,928,10
5481,5494,10
477,3120,10
624,670,10
2511,1484,10
3418,3590,10
1677,4249,10
2697,2681,10
7662,7866,10
1772,7327,10
4682,4700,10
2294,4969,10
5966,5977,10
3418,4249,10
1378,1041,10
9066,392,10
2939,1337,10
5443,2759,10
5423,8158,10
1677,1635,10
5101,5111,10
4388,4395,10
5111,5101,10
5500,5481,10
10719,10702,10
11074,11046,10
3590,4249,10
5792,5946,10
1849,9066,10
4012,4080,10
374,739,10
4774,6560,10
8961,6084,10
5423,975,10
6813,1677,10
5375,3896,10
4260,4294,10
5789,6813,10
1849,1822,10
1865,2773,10
5494,5491,10
5482,8190,10
4441,1447,10
8679,8596,10
5414,4339,10
13221,12323,10
4656,4609,10
5481,2759,10
2489,2476,10
4700,4682,10
5494,5440,10
5494,5443,10
4249,3590,10
5443,5500,10
4850,2960,10
760,716,10
5977,5966,10
1095,701,10
5443,5440,10
859,10478,10
4607,1884,10
701,1095,10
2201,8679,10
928,1371,10
8190,5482,10
1041,2489,10
3503,2926,10
8262,8260,10
8260,8262,10
2550,1447,10
4316,5443,10
9282,9258,10
5500,5494,10
7327,1772,10
1884,2773,10
1635,1677,10
1447,2550,10
4395,5490,10
2068,2408,10
3180,4483,10
